SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
42023,1627759,0042300304,2024-05-27,BOS @ IND,W,44,11,22,0.5,4,8,0.5,3,6,0.5,2,4,6,2,3,1,3,3,29,6,1
42023,1627759,0042300303,2024-05-25,BOS @ IND,W,38,10,18,0.556,1,5,0.2,3,4,0.75,0,2,2,3,1,1,1,3,24,-1,1
42023,1627759,0042300302,2024-05-23,BOS vs. IND,W,37,14,27,0.519,4,10,0.4,8,11,0.727,2,3,5,2,1,0,2,4,40,18,1
42023,1627759,0042300301,2024-05-21,BOS vs. IND,W,44,10,20,0.5,1,4,0.25,5,8,0.625,1,6,7,5,3,1,3,1,26,4,1
42023,1627759,0042300205,2024-05-15,BOS vs. CLE,W,41,4,9,0.444,1,3,0.333,2,4,0.5,0,4,4,7,1,1,3,3,11,14,1
42023,1627759,0042300204,2024-05-13,BOS @ CLE,W,34,9,15,0.6,2,3,0.667,7,9,0.778,1,7,8,1,0,0,5,4,27,3,1
42023,1627759,0042300203,2024-05-11,BOS @ CLE,W,41,13,17,0.765,2,3,0.667,0,2,0.0,2,7,9,3,1,0,2,4,28,18,1
42023,1627759,0042300202,2024-05-09,BOS vs. CLE,L,31,7,17,0.412,0,6,0.0,5,5,1.0,0,4,4,1,0,0,1,2,19,-29,1
42023,1627759,0042300201,2024-05-07,BOS vs. CLE,W,34,12,18,0.667,4,6,0.667,4,4,1.0,1,5,6,2,0,1,1,2,32,9,1
42023,1627759,0042300105,2024-05-01,BOS vs. MIA,W,26,11,19,0.579,1,7,0.143,2,5,0.4,0,6,6,2,0,0,5,2,25,14,1
42023,1627759,0042300104,2024-04-29,BOS @ MIA,W,39,7,18,0.389,1,3,0.333,2,4,0.5,2,3,5,2,2,0,6,3,17,17,1
42023,1627759,0042300103,2024-04-27,BOS @ MIA,W,33,11,20,0.55,0,4,0.0,0,1,0.0,2,6,8,3,2,1,1,2,22,6,1
42023,1627759,0042300102,2024-04-24,BOS vs. MIA,L,37,13,23,0.565,4,9,0.444,3,6,0.5,3,5,8,1,1,1,3,1,33,-22,1
42023,1627759,0042300101,2024-04-21,BOS vs. MIA,W,34,6,12,0.5,3,5,0.6,2,4,0.5,2,6,8,3,0,1,1,1,17,17,1
22023,1627759,0022301167,2024-04-11,BOS vs. NYK,L,29,6,15,0.4,1,5,0.2,2,3,0.667,1,1,2,1,0,2,3,3,15,-29,1
22023,1627759,0022301148,2024-04-09,BOS @ MIL,L,36,7,19,0.368,0,6,0.0,0,0,0.0,4,6,10,3,4,0,5,3,14,-13,1
22023,1627759,0022301134,2024-04-07,BOS vs. POR,W,30,10,17,0.588,3,5,0.6,3,3,1.0,0,4,4,2,1,1,2,2,26,6,1
22023,1627759,0022301105,2024-04-03,BOS vs. OKC,W,33,9,20,0.45,3,9,0.333,2,3,0.667,1,6,7,4,1,2,5,4,23,8,1
22023,1627759,0022301074,2024-03-30,BOS @ NOP,W,35,6,16,0.375,3,4,0.75,2,2,1.0,2,5,7,6,1,1,2,2,17,4,1
22023,1627759,0022301060,2024-03-28,BOS @ ATL,L,39,9,17,0.529,0,3,0.0,0,0,0.0,0,1,1,4,2,2,3,3,18,8,1
