SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
42023,201143,0042300304,2024-05-27,BOS @ IND,W,40,2,4,0.5,1,3,0.333,2,2,1.0,2,6,8,5,1,1,0,2,7,3,1
42023,201143,0042300303,2024-05-25,BOS @ IND,W,35,8,14,0.571,7,12,0.583,0,0,0.0,3,2,5,0,1,3,1,2,23,5,1
42023,201143,0042300302,2024-05-23,BOS vs. IND,W,25,3,6,0.5,0,1,0.0,0,0,0.0,4,6,10,0,2,0,1,0,6,13,1
42023,201143,0042300301,2024-05-21,BOS vs. IND,W,40,5,15,0.333,3,12,0.25,2,3,0.667,2,4,6,1,0,3,0,2,15,3,1
42023,201143,0042300205,2024-05-15,BOS vs. CLE,W,35,8,15,0.533,6,13,0.462,0,0,0.0,7,8,15,5,1,3,4,1,22,26,1
42023,201143,0042300204,2024-05-13,BOS @ CLE,W,28,3,9,0.333,0,4,0.0,0,0,0.0,1,5,6,0,0,1,0,0,6,11,1
42023,201143,0042300203,2024-05-11,BOS @ CLE,W,39,1,7,0.143,0,6,0.0,0,0,0.0,3,4,7,2,0,0,0,3,2,12,1
42023,201143,0042300202,2024-05-09,BOS vs. CLE,L,29,4,9,0.444,3,7,0.429,0,0,0.0,1,1,2,1,0,1,1,3,11,-6,1
42023,201143,0042300201,2024-05-07,BOS vs. CLE,W,27,3,7,0.429,1,5,0.2,0,0,0.0,0,8,8,4,1,0,0,1,7,15,1
42023,201143,0042300105,2024-05-01,BOS vs. MIA,W,23,3,4,0.75,1,2,0.5,1,2,0.5,1,5,6,3,1,0,0,1,8,10,1
42023,201143,0042300104,2024-04-29,BOS @ MIA,W,34,3,5,0.6,1,3,0.333,0,0,0.0,1,7,8,2,1,0,1,4,7,15,1
42023,201143,0042300103,2024-04-27,BOS @ MIA,W,22,4,7,0.571,1,4,0.25,0,0,0.0,2,4,6,1,0,0,0,0,9,15,1
42023,201143,0042300102,2024-04-24,BOS vs. MIA,L,23,2,3,0.667,1,1,1.0,1,2,0.5,1,7,8,3,1,1,1,0,6,8,1
42023,201143,0042300101,2024-04-21,BOS vs. MIA,W,26,4,8,0.5,2,5,0.4,0,0,0.0,2,5,7,0,0,0,0,0,10,2,1
22023,201143,0022301167,2024-04-11,BOS vs. NYK,L,16,2,3,0.667,2,3,0.667,0,0,0.0,0,2,2,1,1,2,1,2,6,-18,1
22023,201143,0022301134,2024-04-07,BOS vs. POR,W,21,3,6,0.5,1,4,0.25,0,0,0.0,1,5,6,3,1,0,1,0,7,7,1
22023,201143,0022301118,2024-04-05,BOS vs. SAC,W,20,3,7,0.429,1,5,0.2,1,2,0.5,0,6,6,1,0,1,0,0,8,3,1
22023,201143,0022301105,2024-04-03,BOS vs. OKC,W,25,7,10,0.7,2,4,0.5,0,0,0.0,2,2,4,2,0,1,2,1,16,32,1
22023,201143,0022301087,2024-04-01,BOS @ CHA,W,25,6,11,0.545,3,6,0.5,0,0,0.0,3,2,5,3,0,0,0,0,15,8,1
22023,201143,0022301074,2024-03-30,BOS @ NOP,W,30,4,7,0.571,1,3,0.333,0,0,0.0,0,6,6,2,1,1,0,1,9,8,1
