SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
42023,1629655,0042300315,2024-05-30,DAL @ MIN,W,20,3,3,1.0,0,0,0.0,5,6,0.833,2,7,9,0,0,1,2,5,11,26,1
42023,1629655,0042300314,2024-05-28,DAL vs. MIN,L,31,6,6,1.0,0,0,0.0,0,0,0.0,2,6,8,1,1,3,0,3,12,-1,1
42023,1629655,0042300313,2024-05-26,DAL vs. MIN,W,29,2,4,0.5,0,0,0.0,1,1,1.0,0,3,3,1,0,3,3,4,5,10,1
42023,1629655,0042300312,2024-05-24,DAL @ MIN,W,21,8,10,0.8,0,0,0.0,0,2,0.0,1,4,5,0,0,5,0,2,16,-3,1
42023,1629655,0042300311,2024-05-22,DAL @ MIN,W,21,5,9,0.556,0,0,0.0,0,0,0.0,4,5,9,0,0,1,2,2,10,-15,1
42023,1629655,0042300226,2024-05-18,DAL vs. OKC,W,19,4,7,0.571,0,0,0.0,2,4,0.5,4,3,7,1,0,1,1,0,10,-25,1
42023,1629655,0042300225,2024-05-15,DAL @ OKC,W,25,4,4,1.0,0,0,0.0,1,2,0.5,1,6,7,1,0,1,1,3,9,-10,1
42023,1629655,0042300224,2024-05-13,DAL vs. OKC,L,23,4,7,0.571,0,0,0.0,2,4,0.5,1,7,8,0,0,3,0,0,10,-5,1
42023,1629655,0042300223,2024-05-11,DAL vs. OKC,W,20,4,5,0.8,0,0,0.0,0,2,0.0,1,4,5,3,0,1,1,1,8,-8,1
42023,1629655,0042300222,2024-05-09,DAL @ OKC,W,27,4,6,0.667,0,0,0.0,5,9,0.556,2,5,7,2,1,1,3,2,13,-8,1
42023,1629655,0042300221,2024-05-07,DAL @ OKC,L,27,5,12,0.417,0,0,0.0,6,8,0.75,5,6,11,1,0,5,1,3,16,-2,1
42023,1629655,0042300176,2024-05-03,DAL vs. LAC,W,22,5,8,0.625,0,0,0.0,3,3,1.0,4,2,6,0,0,0,1,3,13,17,1
42023,1629655,0042300175,2024-05-01,DAL @ LAC,W,19,2,4,0.5,0,0,0.0,4,6,0.667,1,4,5,0,1,1,0,0,8,8,1
42023,1629655,0042300174,2024-04-28,DAL vs. LAC,L,19,1,4,0.25,0,0,0.0,3,4,0.75,2,3,5,2,0,0,2,1,5,-7,1
42023,1629655,0042300173,2024-04-26,DAL vs. LAC,W,26,4,5,0.8,0,0,0.0,0,0,0.0,3,1,4,0,2,3,0,1,8,9,1
42023,1629655,0042300172,2024-04-23,DAL @ LAC,W,9,0,3,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,2,0,-8,1
42023,1629655,0042300171,2024-04-21,DAL @ LAC,L,14,1,4,0.25,0,0,0.0,1,2,0.5,0,0,0,0,0,1,1,2,3,-8,1
22023,1629655,0022301181,2024-04-12,DAL vs. DET,L,12,3,4,0.75,0,0,0.0,0,0,0.0,0,2,2,1,0,1,3,2,6,-5,1
22023,1629655,0022301161,2024-04-10,DAL @ MIA,W,26,6,6,1.0,0,0,0.0,0,0,0.0,0,5,5,3,1,3,0,0,12,2,1
22023,1629655,0022301144,2024-04-09,DAL @ CHA,W,25,12,12,1.0,0,0,0.0,2,4,0.5,2,5,7,1,1,2,0,1,26,11,1
