SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
42023,1627884,0042300315,2024-05-30,DAL @ MIN,W,30,2,6,0.333,1,2,0.5,0,0,0.0,2,0,2,2,0,1,0,3,5,11,1
42023,1627884,0042300314,2024-05-28,DAL vs. MIN,L,34,3,6,0.5,2,3,0.667,1,2,0.5,2,3,5,4,1,0,2,3,9,3,1
42023,1627884,0042300313,2024-05-26,DAL vs. MIN,W,33,3,4,0.75,3,3,1.0,2,2,1.0,1,1,2,2,0,0,2,2,11,15,1
42023,1627884,0042300312,2024-05-24,DAL @ MIN,W,33,1,5,0.2,0,3,0.0,2,2,1.0,0,4,4,1,2,0,1,4,4,0,1
42023,1627884,0042300311,2024-05-22,DAL @ MIN,W,35,4,9,0.444,0,2,0.0,0,0,0.0,2,2,4,2,0,0,0,1,8,-8,1
42023,1627884,0042300226,2024-05-18,DAL vs. OKC,W,40,8,13,0.615,4,6,0.667,2,2,1.0,3,1,4,2,1,1,2,3,22,18,1
42023,1627884,0042300225,2024-05-15,DAL @ OKC,W,28,7,9,0.778,3,5,0.6,2,2,1.0,0,1,1,1,1,1,0,2,19,7,1
42023,1627884,0042300224,2024-05-13,DAL vs. OKC,L,27,7,12,0.583,1,5,0.2,2,4,0.5,1,2,3,1,0,4,1,1,17,9,1
42023,1627884,0042300223,2024-05-11,DAL vs. OKC,W,36,1,10,0.1,0,3,0.0,1,1,1.0,2,2,4,1,2,0,2,2,3,-14,1
42023,1627884,0042300222,2024-05-09,DAL @ OKC,W,28,3,12,0.25,1,5,0.2,2,2,1.0,3,2,5,2,0,0,1,4,9,-2,1
42023,1627884,0042300221,2024-05-07,DAL @ OKC,L,30,3,5,0.6,1,3,0.333,0,0,0.0,1,1,2,2,0,2,1,4,7,-15,1
42023,1627884,0042300176,2024-05-03,DAL vs. LAC,W,36,3,5,0.6,0,1,0.0,0,0,0.0,2,3,5,2,0,1,1,3,6,9,1
42023,1627884,0042300175,2024-05-01,DAL @ LAC,W,30,5,7,0.714,2,4,0.5,0,1,0.0,0,3,3,1,0,3,2,5,12,20,1
42023,1627884,0042300174,2024-04-28,DAL vs. LAC,L,33,6,9,0.667,2,3,0.667,0,1,0.0,4,3,7,1,1,1,0,4,14,7,1
42023,1627884,0042300173,2024-04-26,DAL vs. LAC,W,27,4,8,0.5,1,3,0.333,2,2,1.0,2,1,3,0,0,1,0,1,11,12,1
42023,1627884,0042300172,2024-04-23,DAL @ LAC,W,32,4,6,0.667,0,1,0.0,2,4,0.5,2,5,7,0,0,1,2,4,10,0,1
42023,1627884,0042300171,2024-04-21,DAL @ LAC,L,18,0,4,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,2,0,2,0,-14,1
22023,1627884,0022301181,2024-04-12,DAL vs. DET,L,14,1,2,0.5,0,0,0.0,1,2,0.5,0,1,1,3,0,0,2,1,3,0,1
22023,1627884,0022301161,2024-04-10,DAL @ MIA,W,26,5,12,0.417,1,5,0.2,1,2,0.5,2,0,2,0,2,2,0,3,12,-1,1
22023,1627884,0022301144,2024-04-09,DAL @ CHA,W,24,4,8,0.5,1,5,0.2,0,0,0.0,2,1,3,3,0,1,0,2,9,22,1
