SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
42023,201950,0042300405,2024-06-17,BOS vs. DAL,W,43,7,14,0.5,1,3,0.333,0,0,0.0,4,7,11,4,0,1,2,3,15,21,1
42023,201950,0042300404,2024-06-14,BOS @ DAL,L,29,4,10,0.4,2,4,0.5,0,0,0.0,0,3,3,2,0,1,5,1,10,-38,1
42023,201950,0042300403,2024-06-12,BOS @ DAL,W,42,4,9,0.444,1,3,0.333,0,0,0.0,3,1,4,5,1,0,0,4,9,1,1
42023,201950,0042300402,2024-06-09,BOS vs. DAL,W,41,11,14,0.786,2,4,0.5,2,2,1.0,4,7,11,3,1,1,0,3,26,6,1
42023,201950,0042300401,2024-06-06,BOS vs. DAL,W,35,4,9,0.444,2,5,0.4,2,2,1.0,2,6,8,5,1,0,0,3,12,20,1
42023,201950,0042300304,2024-05-27,BOS @ IND,W,38,7,13,0.538,2,6,0.333,1,1,1.0,1,8,9,2,0,0,1,3,17,2,1
42023,201950,0042300303,2024-05-25,BOS @ IND,W,38,4,10,0.4,1,6,0.167,5,5,1.0,2,7,9,3,3,1,3,1,14,6,1
42023,201950,0042300302,2024-05-23,BOS vs. IND,W,37,6,7,0.857,3,4,0.75,0,0,0.0,2,2,4,10,0,0,1,2,15,11,1
42023,201950,0042300301,2024-05-21,BOS vs. IND,W,48,10,16,0.625,4,8,0.5,4,4,1.0,5,2,7,8,3,0,4,3,28,7,1
42023,201950,0042300205,2024-05-15,BOS vs. CLE,W,41,5,9,0.556,1,4,0.25,2,2,1.0,1,2,3,4,0,0,3,1,13,21,1
42023,201950,0042300204,2024-05-13,BOS @ CLE,W,43,6,11,0.545,4,8,0.5,0,0,0.0,1,6,7,5,3,1,2,0,16,6,1
42023,201950,0042300203,2024-05-11,BOS @ CLE,W,38,7,10,0.7,3,4,0.75,1,2,0.5,2,6,8,5,0,1,1,1,18,15,1
42023,201950,0042300202,2024-05-09,BOS vs. CLE,L,35,2,7,0.286,0,2,0.0,0,0,0.0,1,1,2,3,2,0,0,2,4,-21,1
42023,201950,0042300201,2024-05-07,BOS vs. CLE,W,36,6,14,0.429,2,7,0.286,0,0,0.0,2,4,6,2,0,1,0,2,14,14,1
42023,201950,0042300105,2024-05-01,BOS vs. MIA,W,34,3,5,0.6,2,4,0.5,2,2,1.0,3,3,6,5,1,0,2,3,10,22,1
42023,201950,0042300104,2024-04-29,BOS @ MIA,W,38,4,10,0.4,1,4,0.25,2,2,1.0,2,4,6,6,1,0,0,3,11,4,1
42023,201950,0042300103,2024-04-27,BOS @ MIA,W,35,1,5,0.2,1,3,0.333,0,0,0.0,0,2,2,6,1,2,2,1,3,23,1
42023,201950,0042300102,2024-04-24,BOS vs. MIA,L,37,4,12,0.333,1,4,0.25,0,0,0.0,0,3,3,2,2,1,2,4,9,10,1
42023,201950,0042300101,2024-04-21,BOS vs. MIA,W,33,2,8,0.25,2,4,0.5,0,0,0.0,2,5,7,3,2,2,1,0,6,13,1
22023,201950,0022301167,2024-04-11,BOS vs. NYK,L,29,3,7,0.429,1,4,0.25,0,0,0.0,1,4,5,1,1,2,2,2,7,-26,1
22023,201950,0022301148,2024-04-09,BOS @ MIL,L,32,5,13,0.385,2,6,0.333,0,0,0.0,3,4,7,5,1,1,2,0,12,-10,1
22023,201950,0022301134,2024-04-07,BOS vs. POR,W,21,5,8,0.625,2,3,0.667,0,0,0.0,0,1,1,2,0,0,0,1,12,7,1
22023,201950,0022301118,2024-04-05,BOS vs. SAC,W,31,5,8,0.625,0,2,0.0,0,0,0.0,1,3,4,7,0,0,1,0,10,-1,1
22023,201950,0022301105,2024-04-03,BOS vs. OKC,W,32,5,9,0.556,2,6,0.333,0,0,0.0,1,6,7,4,0,1,3,1,12,31,1
22023,201950,0022301087,2024-04-01,BOS @ CHA,W,30,1,11,0.091,0,8,0.0,0,0,0.0,1,4,5,2,0,0,1,2,2,6,1
22023,201950,0022301074,2024-03-30,BOS @ NOP,W,35,5,10,0.5,3,6,0.5,0,0,0.0,1,7,8,7,2,1,3,2,13,8,1
22023,201950,0022301060,2024-03-28,BOS @ ATL,L,37,5,11,0.455,3,6,0.5,0,0,0.0,1,6,7,5,1,1,0,1,13,-1,1
22023,201950,0022300980,2024-03-17,BOS @ WAS,W,22,3,7,0.429,1,2,0.5,0,0,0.0,0,1,1,3,1,2,3,2,7,17,1
22023,201950,0022300955,2024-03-14,BOS vs. PHX,W,33,3,5,0.6,3,5,0.6,0,0,0.0,0,0,0,10,2,2,0,1,9,26,1
22023,201950,0022300943,2024-03-12,BOS @ UTA,W,38,6,12,0.5,2,7,0.286,2,2,1.0,1,4,5,8,2,1,1,1,16,7,1
22023,201950,0022300920,2024-03-09,BOS @ PHX,W,36,5,7,0.714,3,5,0.6,2,2,1.0,0,3,3,6,2,1,3,1,15,6,1
22023,201950,0022300906,2024-03-07,BOS @ DEN,L,35,5,10,0.5,2,6,0.333,0,0,0.0,1,3,4,2,0,0,1,2,12,-6,1
22023,201950,0022300886,2024-03-05,BOS @ CLE,L,36,5,9,0.556,2,6,0.333,0,0,0.0,2,2,4,5,2,0,4,1,12,-14,1
22023,201950,0022300872,2024-03-03,BOS vs. GSW,W,26,3,7,0.429,1,3,0.333,0,0,0.0,1,5,6,4,0,1,0,2,7,39,1
22023,201950,0022300859,2024-03-01,BOS vs. DAL,W,27,4,6,0.667,3,3,1.0,0,0,0.0,0,2,2,7,2,1,0,1,11,12,1
22023,201950,0022300836,2024-02-27,BOS vs. PHI,W,35,6,8,0.75,1,1,1.0,0,0,0.0,3,4,7,4,1,2,4,0,13,19,1
22023,201950,0022300816,2024-02-24,BOS @ NYK,W,35,5,10,0.5,2,6,0.333,0,0,0.0,0,1,1,6,2,1,1,2,12,14,1
22023,201950,0022300797,2024-02-22,BOS @ CHI,W,29,3,5,0.6,2,3,0.667,1,2,0.5,0,3,3,6,2,1,2,3,9,9,1
22023,201950,0022300780,2024-02-14,BOS vs. BKN,W,24,1,3,0.333,1,2,0.5,0,0,0.0,1,3,4,5,0,0,0,0,3,31,1
22023,201950,0022300771,2024-02-13,BOS @ BKN,W,35,6,10,0.6,2,4,0.5,0,0,0.0,0,5,5,12,2,0,3,5,14,18,1
22023,201950,0022300759,2024-02-11,BOS @ MIA,W,35,5,8,0.625,5,6,0.833,0,0,0.0,1,2,3,6,1,1,0,3,15,4,1
22023,201950,0022300743,2024-02-09,BOS vs. WAS,W,34,9,13,0.692,2,2,1.0,0,0,0.0,3,4,7,5,1,0,2,2,20,-11,1
22023,201950,0022300706,2024-02-04,BOS vs. MEM,W,27,2,6,0.333,1,3,0.333,2,2,1.0,0,3,3,4,1,0,2,1,7,11,1
22023,201950,0022300684,2024-02-01,BOS vs. LAL,L,29,4,9,0.444,0,2,0.0,0,0,0.0,2,5,7,7,0,0,4,3,8,-9,1
22023,201950,0022300670,2024-01-30,BOS vs. IND,W,39,6,8,0.75,3,3,1.0,2,2,1.0,0,5,5,4,1,3,1,0,17,2,1
22023,201950,0022300659,2024-01-29,BOS vs. NOP,W,33,7,11,0.636,3,5,0.6,3,4,0.75,2,1,3,2,1,0,1,1,20,-4,1
22023,201950,0022300646,2024-01-27,BOS vs. LAC,L,28,2,11,0.182,1,7,0.143,2,2,1.0,0,3,3,4,1,0,2,1,7,-28,1
22023,201950,0022300630,2024-01-25,BOS @ MIA,W,29,7,8,0.875,3,4,0.75,0,0,0.0,0,5,5,5,0,1,3,1,17,13,1
22023,201950,0022300611,2024-01-22,BOS @ DAL,W,38,6,13,0.462,5,12,0.417,0,0,0.0,0,7,7,6,0,1,1,2,17,19,1
22023,201950,0022300586,2024-01-19,BOS vs. DEN,L,30,3,7,0.429,1,3,0.333,0,0,0.0,1,1,2,3,0,0,1,0,7,-12,1
22023,201950,0022300571,2024-01-17,BOS vs. SAS,W,31,8,14,0.571,6,7,0.857,0,0,0.0,0,4,4,4,0,0,1,0,22,10,1
22023,201950,0022300563,2024-01-15,BOS @ TOR,W,34,7,14,0.5,4,6,0.667,4,4,1.0,1,5,6,7,1,2,1,2,22,4,1
22023,201950,0022300542,2024-01-13,BOS vs. HOU,W,26,4,10,0.4,1,4,0.25,2,2,1.0,2,4,6,3,0,0,1,2,11,22,1
22023,201950,0022300528,2024-01-11,BOS @ MIL,L,19,2,9,0.222,0,4,0.0,2,2,1.0,1,3,4,2,0,0,1,1,6,-31,1
