SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
42023,204001,0042300104,2024-04-29,BOS @ MIA,W,14,1,5,0.2,1,3,0.333,4,4,1.0,0,3,3,0,0,0,0,1,7,9,1
42023,204001,0042300103,2024-04-27,BOS @ MIA,W,27,5,9,0.556,3,5,0.6,5,6,0.833,1,4,5,2,1,2,0,3,18,12,1
42023,204001,0042300102,2024-04-24,BOS vs. MIA,L,30,1,9,0.111,0,4,0.0,4,4,1.0,2,6,8,4,3,2,2,3,6,-32,1
42023,204001,0042300101,2024-04-21,BOS vs. MIA,W,34,7,13,0.538,4,8,0.5,0,0,0.0,1,3,4,1,1,2,2,3,18,17,1
22023,204001,0022301167,2024-04-11,BOS vs. NYK,L,25,5,12,0.417,2,5,0.4,2,2,1.0,2,6,8,1,0,2,1,2,14,-14,1
22023,204001,0022301134,2024-04-07,BOS vs. POR,W,27,3,7,0.429,1,3,0.333,5,8,0.625,1,9,10,2,3,5,2,1,12,4,1
22023,204001,0022301118,2024-04-05,BOS vs. SAC,W,24,7,10,0.7,2,2,1.0,4,4,1.0,1,10,11,2,2,1,1,3,20,0,1
22023,204001,0022301105,2024-04-03,BOS vs. OKC,W,31,11,14,0.786,3,3,1.0,2,2,1.0,3,9,12,4,1,5,0,3,27,19,1
22023,204001,0022301087,2024-04-01,BOS @ CHA,W,30,6,10,0.6,1,3,0.333,7,8,0.875,2,5,7,5,0,1,1,1,20,11,1
22023,204001,0022301074,2024-03-30,BOS @ NOP,W,31,6,14,0.429,1,6,0.167,6,6,1.0,0,10,10,3,2,4,2,4,19,12,1
22023,204001,0022301060,2024-03-28,BOS @ ATL,L,41,8,20,0.4,2,7,0.286,2,3,0.667,2,5,7,2,1,3,3,3,20,-4,1
22023,204001,0022301034,2024-03-25,BOS @ ATL,L,34,7,14,0.5,1,4,0.25,2,2,1.0,5,0,5,2,0,3,3,3,17,-7,1
22023,204001,0022301011,2024-03-22,BOS @ DET,W,26,7,15,0.467,2,6,0.333,3,4,0.75,2,2,4,1,3,2,0,5,19,22,1
22023,204001,0022300998,2024-03-20,BOS vs. MIL,W,28,6,16,0.375,0,5,0.0,5,6,0.833,3,0,3,2,0,0,2,3,17,-8,1
22023,204001,0022300984,2024-03-18,BOS vs. DET,W,21,7,14,0.5,5,9,0.556,1,1,1.0,1,7,8,1,1,1,0,2,20,14,1
