SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
42023,1628369,0042300304,2024-05-27,BOS @ IND,W,44,11,26,0.423,3,11,0.273,1,1,1.0,3,10,13,8,1,0,5,5,26,6,1
42023,1628369,0042300303,2024-05-25,BOS @ IND,W,44,12,23,0.522,5,10,0.5,7,11,0.636,1,9,10,8,1,2,0,3,36,9,1
42023,1628369,0042300302,2024-05-23,BOS vs. IND,W,42,9,20,0.45,1,7,0.143,4,4,1.0,1,5,6,5,0,0,4,3,23,0,1
42023,1628369,0042300301,2024-05-21,BOS vs. IND,W,46,12,26,0.462,2,8,0.25,10,12,0.833,2,10,12,4,3,0,4,4,36,20,1
42023,1628369,0042300205,2024-05-15,BOS vs. CLE,W,43,9,16,0.563,3,7,0.429,4,4,1.0,0,10,10,9,4,0,1,3,25,18,1
42023,1628369,0042300204,2024-05-13,BOS @ CLE,W,44,11,25,0.44,2,8,0.25,9,9,1.0,2,9,11,5,2,1,4,2,33,6,1
42023,1628369,0042300203,2024-05-11,BOS @ CLE,W,42,11,25,0.44,2,8,0.25,9,9,1.0,1,12,13,6,1,1,5,2,33,8,1
42023,1628369,0042300202,2024-05-09,BOS vs. CLE,L,38,7,17,0.412,2,5,0.4,9,11,0.818,0,7,7,6,1,0,1,3,25,-22,1
42023,1628369,0042300201,2024-05-07,BOS vs. CLE,W,35,7,19,0.368,0,5,0.0,4,4,1.0,2,9,11,5,0,3,1,3,18,18,1
42023,1628369,0042300105,2024-05-01,BOS vs. MIA,W,32,4,9,0.444,2,4,0.5,6,9,0.667,0,12,12,3,0,1,2,2,16,35,1
42023,1628369,0042300104,2024-04-29,BOS @ MIA,W,37,5,14,0.357,2,6,0.333,8,8,1.0,0,11,11,5,0,0,1,3,20,12,1
42023,1628369,0042300103,2024-04-27,BOS @ MIA,W,39,6,16,0.375,2,7,0.286,8,12,0.667,0,11,11,6,0,1,0,3,22,22,1
42023,1628369,0042300102,2024-04-24,BOS vs. MIA,L,41,10,20,0.5,2,6,0.333,6,8,0.75,0,8,8,3,0,1,3,3,28,6,1
