SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
42023,1629655,0042300405,2024-06-17,DAL @ BOS,L,11,3,5,0.6,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,1,6,-7,1
42023,1629655,0042300404,2024-06-14,DAL vs. BOS,W,10,1,2,0.5,0,0,0.0,5,6,0.833,1,3,4,0,0,1,1,1,7,12,1
42023,1629655,0042300403,2024-06-12,DAL vs. BOS,L,16,3,3,1.0,0,0,0.0,0,0,0.0,1,2,3,1,0,1,0,2,6,-11,1
42023,1629655,0042300402,2024-06-09,DAL @ BOS,L,23,6,9,0.667,0,0,0.0,1,4,0.25,2,7,9,0,0,1,0,0,13,0,1
42023,1629655,0042300401,2024-06-06,DAL @ BOS,L,14,3,3,1.0,0,0,0.0,2,2,1.0,3,0,3,1,1,0,0,0,8,-10,1
42023,1629655,0042300315,2024-05-30,DAL @ MIN,W,20,3,3,1.0,0,0,0.0,5,6,0.833,2,7,9,0,0,1,2,5,11,26,1
42023,1629655,0042300314,2024-05-28,DAL vs. MIN,L,31,6,6,1.0,0,0,0.0,0,0,0.0,2,6,8,1,1,3,0,3,12,-1,1
42023,1629655,0042300313,2024-05-26,DAL vs. MIN,W,29,2,4,0.5,0,0,0.0,1,1,1.0,0,3,3,1,0,3,3,4,5,10,1
42023,1629655,0042300312,2024-05-24,DAL @ MIN,W,21,8,10,0.8,0,0,0.0,0,2,0.0,1,4,5,0,0,5,0,2,16,-3,1
42023,1629655,0042300311,2024-05-22,DAL @ MIN,W,21,5,9,0.556,0,0,0.0,0,0,0.0,4,5,9,0,0,1,2,2,10,-15,1
42023,1629655,0042300226,2024-05-18,DAL vs. OKC,W,19,4,7,0.571,0,0,0.0,2,4,0.5,4,3,7,1,0,1,1,0,10,-25,1
42023,1629655,0042300225,2024-05-15,DAL @ OKC,W,25,4,4,1.0,0,0,0.0,1,2,0.5,1,6,7,1,0,1,1,3,9,-10,1
42023,1629655,0042300224,2024-05-13,DAL vs. OKC,L,23,4,7,0.571,0,0,0.0,2,4,0.5,1,7,8,0,0,3,0,0,10,-5,1
