Rk,GAME_DATE,AGE,MATCHUP,WL,GS,MP,FG,FGA,FG%,FG3M,FG3A,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,2024-05-14,22-155,IND @ CON,L (-21),1,29:18,2,6,.333,0,0,-,0,0,-,2,4,6,2,1,2,4,3,4,1.8
2,2024-05-16,22-157,IND vs. NYL,L (-36),1,29:31,5,15,.333,0,0,-,2,2,1.000,5,2,7,2,1,1,0,3,12,9.5
3,2024-05-18,22-159,IND @ NYL,L (-11),1,32:53,5,10,.500,0,0,-,2,2,1.000,3,4,7,1,1,1,0,5,12,10.7
4,2024-05-20,22-161,IND vs. CON,L (-4),1,30:13,5,11,.455,0,0,-,0,0,-,2,6,8,2,0,3,6,4,10,3.4
5,2024-05-22,22-163,IND @ SEA,L (-2),1,14:45,2,7,.286,0,2,.000,0,0,-,1,2,3,1,0,1,1,4,4,0.0
6,2024-05-24,22-165,IND @ LAS,W (+5),1,29:29,8,14,.571,0,1,.000,1,2,.500,2,4,6,2,2,0,3,4,17,11.4
7,2024-05-25,22-166,IND @ LVA,L (-19),1,26:22,6,14,.429,0,0,-,0,0,-,2,4,6,4,0,0,3,1,12,6.6
8,2024-05-28,22-169,IND vs. LAS,L (-6),1,23:24,5,9,.556,2,2,1.000,5,6,.833,3,3,6,2,1,0,3,5,17,12.7
9,2024-05-30,22-171,IND vs. SEA,L (-15),1,29:06,4,7,.571,1,1,1.000,2,2,1.000,3,9,12,5,0,0,1,4,11,13.4
10,2024-06-01,22-173,IND vs. CHI,W (+1),1,34:21,4,14,.286,0,1,.000,2,3,.667,4,4,8,2,1,4,3,5,10,5.6
11,2024-06-02,22-174,IND @ NYL,L (-36),1,25:55,1,4,.250,0,0,-,3,5,.600,1,3,4,3,2,0,2,0,5,5.5
