Rk,GAME_DATE,AGE,MATCHUP,WL,GS,MP,FG,FGA,FG%,FG3M,FG3A,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,2024-05-14,28-184,IND @ CON,L (-21),0,16:37,2,4,.500,0,1,.000,4,6,.667,0,0,0,1,0,0,1,1,8,4.5
2,2024-05-16,28-186,IND vs. NYL,L (-36),0,21:27,1,7,.143,1,3,.333,2,2,1.000,1,1,2,0,0,0,1,1,5,0.1
3,2024-05-18,28-188,IND @ NYL,L (-11),1,30:37,7,18,.389,3,8,.375,0,0,-,0,2,2,2,2,0,3,0,17,8.2
4,2024-05-20,28-190,IND vs. CON,L (-4),1,31:56,7,16,.438,2,6,.333,1,1,1.000,0,0,0,5,0,0,2,3,17,8.9
5,2024-05-22,28-192,IND @ SEA,L (-2),1,31:42,5,17,.294,2,7,.286,5,6,.833,2,1,3,1,1,1,2,1,17,8.4
6,2024-05-24,28-194,IND @ LAS,W (+5),1,33:52,6,14,.429,2,5,.400,4,5,.800,0,2,2,2,1,0,1,1,18,11.8
7,2024-05-25,28-195,IND @ LVA,L (-19),1,31:47,6,14,.429,3,10,.300,1,2,.500,0,2,2,2,0,0,0,1,16,9.8
8,2024-05-28,28-198,IND vs. LAS,L (-6),1,28:46,5,15,.333,3,7,.429,2,4,.500,0,0,0,2,1,0,1,1,15,6.7
9,2024-05-30,28-200,IND vs. SEA,L (-15),1,35:30,5,16,.313,1,4,.250,3,4,.750,1,1,2,4,0,0,1,1,14,6.8
10,2024-06-01,28-202,IND vs. CHI,W (+1),1,32:59,6,16,.375,1,6,.167,5,5,1.000,1,1,2,2,1,0,0,2,18,11.8
11,2024-06-02,28-203,IND @ NYL,L (-36),1,30:04,9,19,.474,3,9,.333,0,0,-,0,0,0,0,0,0,1,1,21,9.9
