Rk,GAME_DATE,AGE,MATCHUP,WL,GS,MP,FG,FGA,FG%,FG3M,FG3A,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,2024-05-14,26-336,IND @ CON,L (-21),1,26:28,1,2,.500,1,2,.500,2,2,1.000,0,2,2,3,0,0,0,2,5,5.9
2,2024-05-16,26-338,IND vs. NYL,L (-36),1,18:03,4,5,.800,2,2,1.000,0,0,-,0,0,0,0,0,0,0,2,10,7.3
3,2024-05-18,26-340,IND @ NYL,L (-11),1,32:11,2,9,.222,1,3,.333,2,2,1.000,1,4,5,4,0,0,0,0,7,6.2
4,2024-05-20,26-342,IND vs. CON,L (-4),1,15:14,1,2,.500,0,0,-,0,0,-,0,2,2,0,0,0,0,0,2,1.6
5,2024-05-22,26-344,IND @ SEA,L (-2),0,15:26,2,3,.667,0,1,.000,1,1,1.000,0,2,2,0,0,0,0,0,5,4.3
6,2024-05-24,26-346,IND @ LAS,W (+5),0,13:30,0,2,.000,0,2,.000,2,2,1.000,1,0,1,1,0,0,0,2,2,1.2
7,2024-05-25,26-347,IND @ LVA,L (-19),1,23:54,1,6,.167,1,4,.250,0,0,-,0,2,2,1,0,1,0,1,3,0.8
8,2024-05-28,26-350,IND vs. LAS,L (-6),0,12:56,1,4,.250,0,2,.000,0,0,-,0,1,1,0,0,1,0,1,2,0.2
9,2024-05-30,26-352,IND vs. SEA,L (-15),0,17:04,4,6,.667,4,6,.667,0,0,-,0,3,3,0,0,0,1,1,12,8.9
10,2024-06-01,26-354,IND vs. CHI,W (+1),0,10:59,2,5,.400,1,2,.500,0,0,-,1,2,3,2,0,0,0,0,5,5.0
11,2024-06-02,26-355,IND @ NYL,L (-36),0,20:22,0,2,.000,0,2,.000,1,1,1.000,0,4,4,2,0,0,0,2,1,1.4
