Rk,GAME_DATE,AGE,MATCHUP,WL,GS,MP,FG,FGA,FG%,FG3M,FG3A,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,2024-05-14,23-280,IND @ CON,L (-21),1,26:53,5,12,.417,1,3,.333,2,2,1.000,2,7,9,1,0,2,2,3,13,9.0
2,2024-05-16,23-282,IND vs. NYL,L (-36),1,25:24,2,6,.333,0,1,.000,1,2,.500,1,3,4,0,1,0,3,2,5,0.0
3,2024-05-18,23-284,IND @ NYL,L (-11),1,21:40,5,10,.500,0,1,.000,1,2,.500,2,6,8,1,1,2,3,2,11,8.1
4,2024-05-20,23-286,IND vs. CON,L (-4),1,27:13,3,7,.429,1,2,.500,6,7,.857,5,1,6,1,2,1,1,3,13,13.9
5,2024-05-22,23-288,IND @ SEA,L (-2),1,26:58,8,13,.615,0,0,-,0,0,-,6,5,11,1,2,1,1,0,16,18.2
6,2024-05-24,23-290,IND @ LAS,W (+5),1,11:45,2,5,.400,1,1,1.000,0,0,-,0,3,3,1,0,0,1,3,5,1.7
7,2024-05-25,23-291,IND @ LVA,L (-19),0,18:51,4,5,.800,0,0,-,0,2,.000,1,5,6,0,1,1,0,3,8,8.0
8,2024-05-28,23-294,IND vs. LAS,L (-6),0,18:33,1,3,.333,1,1,1.000,0,0,-,1,3,4,1,0,0,0,1,3,3.2
9,2024-05-30,23-296,IND vs. SEA,L (-15),1,33:03,8,14,.571,1,3,.333,6,7,.857,3,7,10,2,1,2,1,2,23,22.2
10,2024-06-01,23-298,IND vs. CHI,W (+1),1,34:40,7,12,.583,2,4,.500,1,2,.500,1,8,9,3,2,1,1,5,17,15.9
11,2024-06-02,23-299,IND @ NYL,L (-36),1,31:03,8,14,.571,1,1,1.000,0,0,-,3,5,8,1,1,0,0,3,17,14.5
