Rk,GAME_DATE,AGE,MATCHUP,WL,GS,MP,FG,FGA,FG%,FG3M,FG3A,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,2024-05-14,28-132,IND @ CON,L (-21),0,17:11,2,3,.667,1,2,.500,0,2,.000,0,4,4,1,1,0,1,0,5,4.8
2,2024-05-16,28-134,IND vs. NYL,L (-36),0,08:09,1,1,1.000,0,0,-,2,2,1.000,0,1,1,1,0,0,0,0,4,4.7
3,2024-05-18,28-136,IND @ NYL,L (-11),0,14:45,1,5,.200,1,3,.333,0,0,-,1,2,3,3,2,0,0,1,3,4.9
4,2024-05-20,28-138,IND vs. CON,L (-4),0,24:46,4,7,.571,0,3,.000,0,0,-,1,1,2,3,1,0,0,2,8,8.0
5,2024-05-22,28-140,IND @ SEA,L (-2),1,23:09,2,5,.400,1,2,.500,0,0,-,1,3,4,3,1,0,1,1,5,5.6
6,2024-05-24,28-142,IND @ LAS,W (+5),1,31:23,3,7,.429,1,4,.250,0,0,-,0,3,3,5,1,0,2,2,7,5.9
7,2024-05-28,28-146,IND vs. LAS,L (-6),1,27:44,2,9,.222,1,6,.167,0,0,-,1,2,3,3,4,1,0,3,5,6.4
8,2024-05-30,28-148,IND vs. SEA,L (-15),1,13:36,1,4,.250,0,1,.000,0,0,-,0,1,1,0,0,1,0,1,2,0.2
9,2024-06-01,28-150,IND vs. CHI,W (+1),1,22:58,4,8,.500,0,2,.000,2,2,1.000,1,2,3,2,1,0,2,2,10,6.9
10,2024-06-02,28-151,IND @ NYL,L (-36),1,19:46,2,7,.286,1,3,.333,1,2,.500,1,1,2,1,1,0,0,2,6,3.4
