Rk,GAME_DATE,AGE,MATCHUP,WL,GS,MP,FG,FGA,FG%,FG3M,FG3A,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,2024-05-14,33-012,IND @ CON,L (-21),1,19:02,3,3,1.000,1,1,1.000,1,1,1.000,0,1,1,2,1,0,2,1,8,7.4
2,2024-05-16,33-014,IND vs. NYL,L (-36),1,24:32,2,6,.333,0,2,.000,0,0,-,0,2,2,4,0,0,2,1,4,1.6
3,2024-05-18,33-016,IND @ NYL,L (-11),0,13:17,0,3,.000,0,0,-,0,0,-,0,0,0,1,0,0,1,0,0,-2.4
4,2024-05-20,33-018,IND vs. CON,L (-4),0,20:40,3,9,.333,0,2,.000,0,0,-,1,4,5,4,1,1,3,3,6,3.1
5,2024-05-22,33-020,IND @ SEA,L (-2),0,15:22,1,1,1.000,0,0,-,0,0,-,1,3,4,2,0,0,0,1,2,4.3
6,2024-05-24,33-022,IND @ LAS,W (+5),0,12:25,0,1,.000,0,0,-,1,2,.500,0,1,1,0,0,0,0,0,1,0.2
7,2024-05-25,33-023,IND @ LVA,L (-19),0,13:11,2,7,.286,1,3,.333,0,0,-,0,2,2,2,1,0,0,0,5,3.9
8,2024-05-28,33-026,IND vs. LAS,L (-6),0,17:09,1,3,.333,0,1,.000,0,0,-,0,0,0,2,2,0,0,2,2,2.9
9,2024-06-01,33-030,IND vs. CHI,W (+1),0,19:47,0,2,.000,0,1,.000,0,0,-,0,0,0,2,0,0,0,2,0,-0.8
10,2024-06-02,33-031,IND @ NYL,L (-36),0,17:58,3,8,.375,1,5,.200,0,0,-,2,2,4,2,0,0,3,2,7,2.2
